district_id,week_jalali,destination_tokens,destination_unique_tokens,total_token,payment_times_count,reorder,overusage,overusage_amount,reorder_amount,payment,total_click_post,total_click_contact,total_phone,post_price,overusage_corrected,token_corrected,reorder_change,overusage_change,token_change,phone_change,overusage_payment_change,reorder_payment_change,payment_change,overusage_change_count,reorder_change_count,token_change_count,phone_change_count,overusage_payment_change_abs,reorder_payment_change_abs,payment_change_abs
40,35,0,0,157,216,118,73,1845000,2465000,4397000,41451,2777,132,25,73,157,,,,,,,,,,,,,,
40,36,0,0,146,152,85,56,1400000,1720000,3177000,25760,1022,128,25,56,146,-27.966103,-23.287672,-7.0063696,-3.030303,-24.119242,-30.223124,-27.746191,-17,-33,-11,-4,-445000,-745000,-1220000
40,37,0,0,164,154,63,79,1975000,1335000,3421000,24669,1616,150,25,79,164,-25.882353,41.07143,12.328767,17.1875,41.07143,-22.38372,7.6802015,23,-22,18,22,575000,-385000,244000
40,38,0,0,158,152,59,79,1975000,1210000,3293000,20265,1537,142,25,79,158,-6.3492064,0,-3.6585367,-5.3333335,0,-9.3632956,-3.741596,0,-4,-6,-8,0,-125000,-128000
40,39,0,0,125,137,83,48,1220000,1685000,2953000,23529,1131,115,25,48,125,40.677967,-39.240505,-20.886076,-19.014084,-38.227848,39.256199,-10.324932,-31,24,-33,-27,-755000,475000,-340000
40,40,0,0,94,55,22,30,750000,440000,1211000,15159,859,91,25,30,94,-73.493973,-37.5,-24.799999,-20.869566,-38.52459,-73.887238,-58.990856,-18,-61,-31,-24,-470000,-1245000,-1742000
40,41,0,0,101,105,46,52,1300000,925000,2264000,17654,1259,95,25,52,101,109.09091,73.333336,7.4468083,4.3956046,73.333336,110.22727,86.952934,22,24,7,4,550000,485000,1053000
40,42,0,0,119,114,63,40,1050000,1270000,2460000,16556,1192,115,25,40,119,36.95652,-23.076923,17.821783,21.052631,-19.23077,37.297298,8.6572437,-12,17,18,20,-250000,345000,196000
40,43,3,1,107,59,30,24,1150000,605000,1800000,18916,1395,105,50,23,106,-52.380951,-40,-10.084034,-8.695652,9.5238094,-52.362206,-26.829268,-16,-33,-12,-10,100000,-665000,-660000
40,44,7,6,108,74,41,27,1200000,885000,2139000,18699,1659,102,50,21,102,36.666668,12.5,.93457943,-2.8571429,4.347826,46.280991,18.833334,3,11,1,-3,50000,280000,339000
40,45,6,3,97,95,60,29,1325000,1220000,2599000,22212,1603,87,50,26,94,46.341465,7.4074073,-10.185185,-14.705882,10.416667,37.853107,21.505377,2,19,-11,-15,125000,335000,460000
40,46,7,4,86,59,36,21,1000000,770000,1788000,20205,732,85,50,17,82,-40,-27.586206,-11.340206,-2.2988505,-24.528301,-36.885246,-31.204309,-8,-24,-11,-2,-325000,-450000,-811000
40,47,5,5,114,54,23,27,1225000,475000,1736000,14162,783,110,50,22,109,-36.111111,28.571428,32.55814,29.411764,22.5,-38.311687,-2.9082775,6,-13,28,25,225000,-295000,-52000
40,48,3,1,79,45,21,22,1045000,430000,1493000,14549,980,77,50,21,78,-8.695652,-18.518518,-30.701754,-30,-14.693877,-9.4736843,-13.997696,-5,-2,-35,-33,-180000,-45000,-243000
40,49,3,2,59,35,14,17,800000,300000,1136000,9318,566,59,50,15,57,-33.333332,-22.727272,-25.316456,-23.376623,-23.444977,-30.232557,-23.911587,-5,-7,-20,-18,-245000,-130000,-357000
42,35,0,0,515,1000,582,372,9340000,12030000,21799000,171654,9224,427,25,372,515,,,,,,,,,,,,,,
42,36,0,0,514,1104,686,372,9300000,14115000,23763000,207236,11399,427,25,372,514,17.869415,0,-.19417475,0,-.42826551,17.331671,9.0095873,0,104,-1,0,-40000,2085000,1964000
42,37,0,0,477,965,566,354,8890000,11625000,20866000,131185,7676,391,25,354,477,-17.492712,-4.8387098,-7.1984434,-8.430913,-4.4086022,-17.640808,-12.191221,-18,-120,-37,-36,-410000,-2490000,-2897000
42,38,0,0,494,810,389,377,9425000,7995000,17780000,109557,5751,389,25,377,494,-31.272085,6.4971752,3.5639412,-.51150894,6.0179977,-31.225807,-14.78961,23,-177,17,-2,535000,-3630000,-3086000
42,39,0,0,413,911,592,281,7045000,12045000,19396000,110861,5437,332,25,281,413,52.185089,-25.464191,-16.396761,-14.652956,-25.251989,50.656662,9.0888643,-96,203,-81,-57,-2380000,4050000,1616000
42,40,0,0,305,525,294,208,5200000,6025000,11408000,87348,5325,261,25,208,305,-50.337837,-25.978647,-26.150122,-21.385542,-26.188786,-49.979244,-41.18375,-73,-298,-108,-71,-1845000,-6020000,-7988000
42,41,0,0,506,838,426,361,9025000,8925000,18444000,90669,5874,389,25,361,506,44.897961,73.557693,65.901642,49.042145,73.557693,48.132782,61.676018,153,132,201,128,3825000,2900000,7036000
42,42,0,0,465,774,383,357,9465000,8010000,17856000,91718,4293,347,25,357,465,-10.093897,-1.1080333,-8.102767,-10.796915,4.8753462,-10.252101,-3.1880286,-4,-43,-41,-42,440000,-915000,-588000
42,43,16,8,259,498,312,143,6750000,6490000,13603000,70509,5153,237,50,135,251,-18.537859,-59.943977,-44.301075,-31.700289,-28.684628,-18.97628,-23.818325,-214,-71,-206,-110,-2715000,-1520000,-4253000
42,44,29,13,316,490,279,184,8640000,5760000,14619000,90979,5598,276,50,171,303,-10.576923,28.671329,22.007723,16.455696,28,-11.248074,7.4689407,41,-33,57,39,1890000,-730000,1016000
42,45,14,8,292,412,237,153,7225000,4965000,12382000,56549,4900,259,50,145,284,-15.053763,-16.847826,-7.5949368,-6.1594205,-16.377316,-13.802083,-15.302004,-31,-42,-24,-17,-1415000,-795000,-2237000
